Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Current Quantity Romolos Cannoli,New Quantity Romolos Cannoli,Stock Alert Enabled Romolos Cannoli,Stock Alert Count Romolos Cannoli,Modifier Set - Cannoli Filling,Modifier Set - Cannoli Flavors,Modifier Set - Cannoli Kit,Modifier Set - Cannoli Multiple Boxes,Modifier Set - Cannoli Special Notes,Modifier Set - Cannoli Toppings,Modifier Set - Cookie Flavors,Modifier Set - Quantity
D2H5BWCAHE5MEZAFEQZG26S6,Cannoli,,Full Size - Single,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,7.00,7.00,N,,N,,N,,,,,,,N,N,N,N,N,N,N,N
4T2JTH5IW6EXIU5NG56HNATE,Cannoli,,Mini Size - Single,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,4.00,4.00,N,,,,N,,,,,,,N,N,N,N,N,N,N,N
G6Y5JGE47EITPIZXGQLJ3RT5,Cannoli Kit (Per 6),,Regular,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,2.00,,N,,N,,Y,,,,,,,N,N,N,N,N,N,N,N
Y5PT7SHS3EIUCHN4GGKGYWGS,Cannoli Online,,Full Size - Set of 6,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,37.50,37.50,N,,N,,N,Cannoli Sizes,Full Size - Set of 6,,,,,Y,Y,N,Y,Y,Y,N,N
UUITBNWGB6DD5T4H7Q4CTEEA,Cannoli Online,,Full Size - Set of 12,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,69.00,69.00,N,,,,N,Cannoli Sizes,Full Size - Set of 12,,,,,Y,Y,N,Y,Y,Y,N,N
TMKG5SVOL7UH6YX5UOYLNGPA,Cannoli Online,,Full Size - Single,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,6.75,6.75,N,,,,N,Cannoli Sizes,Full Size - Single,,,,,Y,Y,N,Y,Y,Y,N,N
6QAUKKIVAL4ICYERI67FUCAH,Cannoli Online,,Kit - Set of 6,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,2.00,2.00,N,,,,N,Cannoli Sizes,Kit - Set of 6,,,,,Y,Y,N,Y,Y,Y,N,N
NNKXBHTP5DAMLVTOY5HGPMQV,Cannoli Online,,Mini Size - Single,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,3.75,3.75,N,,,,N,Cannoli Sizes,Mini Size - Single,,,,,Y,Y,N,Y,Y,Y,N,N
RLDWOUHQ2B4RGWTMCCTVIY2J,Cannoli Online,,Mini Size - Set of 6,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,22.50,22.50,N,,,,N,Cannoli Sizes,Mini Size - Set of 6,,,,,Y,Y,N,Y,Y,Y,N,N
V3I4VO36NRCA757QAXRRGUJE,Cannoli Online,,Mini Size - Set of 12,,,Cannoli,Cannoli,,,,,visible,Prepared food and beverage,,,,,,,,45.00,45.00,N,,,,N,Cannoli Sizes,Mini Size - Set of 12,,,,,Y,Y,N,Y,Y,Y,N,N
